City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Kachug,RU,53.9606,105.8817,28.49,91,100,2.95,overcast clouds
196,Namtsy,RU,62.7161,129.6658,22.98,90,100,9.48,overcast clouds
197,Kavieng,PG,-2.5744,150.7967,80.64,80,93,5.19,overcast clouds
198,Macusani,PE,-14.0833,-70.4333,48.79,60,100,7.31,overcast clouds
199,Miramar,US,25.9873,-80.2323,78.03,48,0,13.8,clear sky
200,Lagoa,PT,39.05,-27.9833,54.55,74,100,33.8,overcast clouds
201,Navahrudak,BY,53.6,25.8333,42.89,66,100,8.81,overcast clouds
202,Korla,CN,41.7597,86.1469,72.41,16,82,7.2,broken clouds
203,Parksville,CA,49.3163,-124.3195,42.44,94,68,17.27,broken clouds
204,Solone,UA,48.2081,34.8721,61.86,49,96,18.1,overcast clouds
205,Pithora,IN,21.2667,82.5167,91.94,16,4,4.45,clear sky
206,Touros,BR,-5.1989,-35.4608,87.51,61,42,16.08,scattered clouds
207,Poplar Bluff,US,36.757,-90.3929,51.53,43,0,7.0,clear sky
208,Qaqortoq,GL,60.7167,-46.0333,33.44,59,5,7.11,clear sky
209,Bad Bevensen,DE,53.0833,10.5833,46.49,55,94,13.38,overcast clouds
210,Vilhena,BR,-12.7406,-60.1458,84.42,65,75,8.05,broken clouds
211,Sibolga,ID,1.7427,98.7792,77.85,83,95,2.86,overcast clouds
212,Saint Andrews,US,34.0454,-81.1293,54.66,39,40,23.02,scattered clouds
213,Kaniama,CD,-7.5667,24.1833,74.43,78,100,2.33,light rain
214,Pangnirtung,CA,66.1451,-65.7125,10.4,79,75,8.05,light snow
215,Bonthe,SL,7.5264,-12.505,87.01,64,98,10.58,overcast clouds
216,Watsa,CD,3.0372,29.5355,80.31,38,62,4.45,broken clouds
217,Pacific Grove,US,36.6177,-121.9166,54.59,87,40,3.44,scattered clouds
218,Beidao,CN,34.5686,105.8933,62.89,53,0,5.73,clear sky
219,Puerto Palomas,MX,31.7667,-107.6167,64.42,12,7,2.8,clear sky
220,Bjelovar,HR,45.8986,16.8489,44.78,75,100,7.61,overcast clouds
221,Matara,LK,5.9485,80.5353,77.68,87,53,7.56,broken clouds
222,Agadez,NE,19.75,10.25,102.85,3,1,3.0,clear sky
223,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,78,20,13.8,few clouds
224,Ampanihy,MG,-24.7,44.75,74.55,77,33,15.32,scattered clouds
225,Oistins,BB,13.0667,-59.5333,84.29,70,75,23.02,broken clouds
226,Bengkulu,ID,-3.8004,102.2655,78.19,82,100,3.71,overcast clouds
227,Manokwari,ID,-0.8667,134.0833,78.71,83,100,2.04,light rain
228,Panzhihua,CN,26.5851,101.7128,64.63,74,3,2.73,clear sky
229,Asosa,ET,10.0667,34.5333,67.46,63,100,3.36,light rain
230,Malanje,AO,-9.5402,16.341,71.31,90,90,3.02,moderate rain
231,Bihar,RO,47.15,21.9167,53.71,82,75,11.5,broken clouds
232,Havoysund,NO,70.9963,24.6622,37.63,97,100,31.32,overcast clouds
233,Berlin,DE,52.5244,13.4105,50.16,72,40,20.0,scattered clouds
234,Tinskoy,RU,56.1525,96.9161,25.77,92,73,4.05,broken clouds
235,Kerouane,GN,9.2667,-9.0167,99.9,24,47,4.38,scattered clouds
236,Conde,BR,-7.2597,-34.9075,85.46,74,75,13.8,broken clouds
237,Adre,TD,13.4667,22.2,98.19,13,42,6.46,scattered clouds
238,Lebu,CL,-37.6167,-73.65,55.87,94,67,8.61,broken clouds
239,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,83.14,76,83,10.85,broken clouds
240,Brae,GB,60.3964,-1.353,39.07,58,98,25.1,overcast clouds
241,Solnechnyy,RU,50.7214,136.6319,20.71,97,76,3.94,broken clouds
242,Meulaboh,ID,4.1363,96.1285,78.73,85,93,1.97,overcast clouds
243,Anloga,GH,5.7947,0.8973,84.65,76,99,15.7,overcast clouds
244,Clyde River,CA,70.4692,-68.5914,1.63,85,75,5.75,light snow
245,Ayan,RU,56.45,138.1667,17.29,85,11,7.25,few clouds
246,Kungurtug,RU,50.5994,97.5228,25.48,86,100,1.66,overcast clouds
247,Kutum,SD,14.2,24.6667,91.11,8,35,8.88,scattered clouds
248,Macia,MZ,-25.0269,33.0989,71.13,68,98,8.14,overcast clouds
249,Richards Bay,ZA,-28.783,32.0377,66.78,86,100,6.64,light rain
250,Nome,US,64.5011,-165.4064,23.07,93,100,6.91,overcast clouds
251,Hongjiang,CN,27.11,109.9956,67.69,79,100,2.95,overcast clouds
252,Kysyl-Syr,RU,63.8986,122.7617,5.49,98,92,3.65,overcast clouds
253,Tefe,BR,-3.3542,-64.7114,86.11,74,40,4.61,scattered clouds
254,Mar Del Plata,AR,-38.0023,-57.5575,68.02,88,75,10.0,broken clouds
255,Nishihara,JP,26.1842,127.7558,71.65,86,75,11.5,broken clouds
256,Changde,CN,29.0464,111.6783,71.83,57,89,11.25,overcast clouds
257,Suoyarvi,RU,62.0833,32.35,35.37,83,31,8.61,scattered clouds
258,Berdigestyakh,RU,62.0989,126.6992,1.85,100,61,2.73,broken clouds
259,Guerrero Negro,MX,27.9769,-114.0611,73.71,43,6,9.04,clear sky
260,Surt,LY,31.2089,16.5887,66.24,58,49,17.29,scattered clouds
261,Antofagasta,CL,-23.65,-70.4,72.21,49,27,9.1,scattered clouds
262,Poum,NC,-20.2333,164.0167,79.52,82,98,12.84,overcast clouds
263,Kasempa,ZM,-13.4584,25.8338,66.0,87,99,4.25,overcast clouds
264,Nakamura,JP,32.9833,132.9333,54.55,84,0,2.89,clear sky
265,Buraydah,SA,26.326,43.975,93.65,10,0,11.52,clear sky
266,Diu,IN,20.7141,70.9822,82.02,69,0,12.33,clear sky
267,Neyshabur,IR,36.2133,58.7958,77.02,14,100,5.66,overcast clouds
268,Shemonaikha,KZ,50.6328,81.9056,35.2,69,3,6.02,clear sky
269,Tehuacan,MX,18.45,-97.3833,62.96,46,99,7.16,overcast clouds
270,Labuhan,ID,-6.8844,112.2051,78.46,85,78,5.79,broken clouds
271,Ovre Ardal,NO,61.3167,7.8,33.48,78,96,7.52,overcast clouds
272,Xifeng,CN,42.7372,124.7222,57.24,68,74,5.97,broken clouds
273,Caravelas,BR,-17.7125,-39.2481,82.45,68,69,6.73,broken clouds
274,Lasa,IT,46.6166,10.7002,47.28,63,100,10.16,overcast clouds
275,Mayumba,GA,-3.432,10.6554,80.22,82,99,10.47,overcast clouds
276,Mahajanga,MG,-15.7167,46.3167,82.47,73,88,0.83,light rain
277,Kloulklubed,PW,7.0419,134.2556,75.7,78,100,18.97,overcast clouds
278,Marawi,PH,7.9986,124.2928,66.51,94,100,2.48,moderate rain
279,Mikuni,JP,36.2171,136.1519,55.31,67,0,7.58,clear sky
280,Great Yarmouth,GB,52.6083,1.7305,51.46,59,86,14.12,overcast clouds
281,Taft,IR,31.7471,54.2088,82.35,8,75,4.61,broken clouds
282,Araouane,ML,18.9048,-3.5265,101.34,5,20,15.01,few clouds
283,Sorong,ID,-0.8833,131.25,79.9,85,98,10.87,overcast clouds
284,Koksovyy,RU,48.1967,40.5989,57.18,43,79,2.44,broken clouds
285,Isiro,CD,2.7739,27.616,78.91,51,92,2.37,overcast clouds
286,Olafsvik,IS,64.8945,-23.7142,36.64,97,100,26.37,overcast clouds
287,Chopan,IN,24.5167,83.0333,89.26,8,0,2.04,clear sky
288,Kanadey,RU,53.1679,47.5264,42.89,99,100,4.16,overcast clouds
