City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
490,Montepuez,MZ,70.9,broken clouds,-13.1256,38.9997,PembaAparthotel
493,Igbaras,PH,77.32,overcast clouds,10.7157,122.2657,Mickey's Place
495,Copala,MX,86.02,broken clouds,16.65,-98.9833,Kaak Naab Playa Ventura
497,Myanaung,MM,84.63,clear sky,18.2833,95.3167,Taung Hlay Khar
498,Dongying,CN,76.55,clear sky,37.4564,118.4856,Wanda Realm
500,Biak,ID,76.87,overcast clouds,-0.9131,122.8766,Penginapan Kim
504,Buin,CL,71.87,scattered clouds,-33.7333,-70.75,Paihuen
505,Sibulan,PH,76.42,light rain,9.3584,123.285,Sunshine Villa
507,Razole,IN,81.43,broken clouds,16.4833,81.8333,Sterling Palavelli Godavari
511,Hervey Bay,AU,74.37,broken clouds,-25.2986,152.8535,Shelly Bay Resort
512,Turan,VN,71.58,clear sky,16.0678,108.2208,Grand Mercure Danang
513,Callaguip,PH,82.42,broken clouds,18.0714,120.4867,Pangil Beach Resort
514,Porto Velho,BR,86.05,scattered clouds,-8.7619,-63.9039,Ecos Hotel Conforto
517,Sur,OM,89.74,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
518,Maceio,BR,85.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
522,Babu,CN,70.38,clear sky,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
527,Sinnamary,GF,80.38,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
528,Montelibano,CO,85.98,overcast clouds,7.9829,-75.4229,Montelíbano Plaza Hotel
529,Harper,LR,85.23,overcast clouds,4.375,-7.7169,Screensaver
530,Ambulu,ID,75.94,few clouds,-8.345,113.6058,Hotel Ambulu Jember
533,Tecoanapa,MX,85.44,broken clouds,16.5167,-98.75,Hotel Manglares
536,Alyangula,AU,71.47,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
537,Indramayu,ID,79.38,broken clouds,-6.3264,108.32,Grand Trisula Hotel
542,Mogadishu,SO,82.09,broken clouds,2.0371,45.3438,Hotel Juba
545,Saint-Pierre,RE,80.28,broken clouds,-21.3393,55.4781,Lindsey Hôtel
546,Bambanglipuro,ID,77.65,overcast clouds,-7.95,110.2833,Puri Brata
549,Lorengau,PG,77.77,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
552,Xinzhi,CN,71.56,clear sky,36.4989,111.7047,Mingyue Hotel
555,Bontang,ID,78.08,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
556,Quelimane,MZ,80.55,broken clouds,-17.8786,36.8883,Hotel Flamingo
557,Bahir Dar,ET,79.47,few clouds,11.5936,37.3908,"Delano Hotel, Bahir Dar"
558,Cukai,MY,75.15,broken clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
560,Tra Vinh,VN,77.88,scattered clouds,9.9347,106.3453,Hồng Ân
565,Mian Channun,PK,89.24,clear sky,30.44,72.3543,Fateh Din Colony
566,Port Keats,AU,77.18,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
568,Cobija,BO,86.18,broken clouds,-11.0267,-68.7692,Hotel Obelisco
574,Bosaso,SO,81.81,overcast clouds,11.2842,49.1816,Red Sea Hotel
576,Temanggung,ID,73.8,light rain,-7.3162,110.1755,Omah Kebon Temanggung
582,Cap Malheureux,MU,78.48,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
584,Ternate,ID,81.34,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
586,Pemangkat,ID,78.66,overcast clouds,1.1667,108.9667,Ramah Kost KITA
588,Port Moresby,PG,76.42,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
589,Abha,SA,71.42,clear sky,18.2164,42.5053,Abha Hotel
590,Balingasay,PH,81.88,broken clouds,16.3573,119.8564,Rock Garden Resort
593,Banda Aceh,ID,80.69,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
596,Pontes E Lacerda,BR,88.93,scattered clouds,-15.2261,-59.3353,Hotel Bressan
597,Brawley,US,80.62,haze,32.9787,-115.5303,Brawley Inn Hotel & Conference Center
600,Abong Mbang,CM,85.24,overcast clouds,3.9833,13.1833,Auberge Angle Sur
601,Qui Nhon,VN,70.61,scattered clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
604,Yenagoa,NG,81.1,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
608,Jeremie,HT,81.5,overcast clouds,18.65,-74.1167,Auberge’Inn
610,Honghu,CN,72.52,overcast clouds,29.8206,113.4621,文泉花园酒店
611,Sola,VU,82.17,scattered clouds,-13.8833,167.55,Leumerus Bungalows
614,Harer,ET,70.27,broken clouds,9.3094,42.1258,Amir Cultural Harari Guesthouse
615,Senanga,ZM,70.36,light rain,-16.1167,23.2667,Zango lodge
616,Basco,PH,78.01,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
617,Birjand,IR,75.67,haze,32.8663,59.2211,Birjand Tourist Hotel
618,Porto Belo,BR,82.8,few clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
619,Negombo,LK,79.92,light rain,7.2083,79.8358,Hotel Sunset Beach
622,Tual,ID,84.33,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
626,Concordia,AR,78.87,scattered clouds,-31.393,-58.0209,Palmar Hotel Casino
